id,name,email,phone_number,job_title,city,state
1,Aaron Marks,AMarks@emailgov.com, (221)830-7361,City Manager,Denver,CO
2,Aly Snow,ASnow@emailgov.com, (485)062-4319,Assistant City Manager,Denver ,CO
3,Brian Blue,BBlue@emailgov.com, (852)148-9979,City Attorney,Aurora,CO
4,Brie Button,BButton@emailgov.com, (672)832-4790,Finance Director,Littleton,CO
5,Carrie Washington,CWashington@emailgov.com, (782)602-3793,Police Chief,Boulder,CO
6,Carl Jr,CJr@emailgov.com, (366)338-9913,Fire Chief,Denver,CO
7,Desmond More,DMore@emailgov.com, (563)460-0876,Public Works Director,Denver ,CO
8,Diane Furr,DFurr@emailgov.com, (227)860-8382,Planning Director,Aurora,CO
9,Eugene Maroon,EMaroon@emailgov.com, (721)386-6969,Economic Developer Director,Littleton,CO
10,Eliza Berry,EBerry@emailgov.com, (326)520-9201,Parks and Recreation Director,Boulder,CO
11,Fran Moore,FMoore@emailgov.com, (437)750-2732,Public Policy Management,Denver,CO
12,Ferdanand Meels,FMeels@emailgov.com, (964)112-8423,Public Safety and Homeland Security,Denver ,CO
13,Greg Lots,GLots@emailgov.com, (153)303-2619,Transportation and Infrastructure Management,Denver,CO
14,Gretta Goul,GGoul@emailgov.com, (268)184-6110,Transportation Planner,Denver ,CO
15,Henry Luckrus,HLuckrus@emailgov.com, (984)438-2014,Urban Planner,Denver,CO
16,Hillary Swank,HSwank@emailgov.com, (278)967-2445,Urban Planner,Denver ,CO
17,Iggy Leaf,ILeaf@emailgov.com, (258)003-5217,Civil Engineer,Denver,CO
18,Ian Douglas,IDouglas@emailgov.com, (295)736-5989,Fire Fighter,Denver ,CO
19,Jackie O,JO@emailgov.com, (307)518-5264,Finance Analyst,Denver,CO
20,Jake Jillinhall,JJillinhall@emailgov.com, (298)995-0973,Account Manager,Denver ,CO
21,Kate Blanchet,KBlanchet@emailgov.com, (251)405-7919,Accountant,Denver,CO
22,Krip Tonite,KTonite@emailgov.com, (845)913-6469,Administrative Assistant,Denver ,CO
23,Lisa Smooth,LSmooth@emailgov.com, (281)551-6180,Office Manager,Denver,CO
24,Lance Legstrong,LLegstrong@emailgov.com, (436)552-3614,Animal Control ,Denver ,CO
25,Mallory Smart,MSmart@emailgov.com, (698)911-0613,Animal Control ,Denver,CO
26,Mike Moon,MMoon@emailgov.com, (651)563-1511,Associate Planner,Denver ,CO
27,Neil Buttstrong,NButtstrong@emailgov.com, (220)609-0224,Building Inspector,Denver,CO
28,Nancy Megan,NMegan@emailgov.com, (972)763-9386,Public Works Superintendent,Denver ,CO
29,Octopus Legs,OLegs@emailgov.com, (861)474-4741,Asst Public Works Superintendent,Denver,CO
30,Olive Martini,OMartini@emailgov.com, (665)868-1711,City Clerk,Aurora,CO
31,Patty Manonise ,PManonise @emailgov.com, (931)424-7760,City Clerk,Littleton,CO
32,Patrick Clover,PClover@emailgov.com, (149)775-6018,City Clerk,Boulder,CO
33,Quinn Finn,QFinn@emailgov.com, (740)636-5901,Contract Specialist,Aurora,CO
34,Qunicy Jones,QJones@emailgov.com, (914)512-3873,Control Operator,Littleton,CO
35,Rita Ora,ROra@emailgov.com, (526)866-8447,County Engineer,Boulder,CO
